Service,Category of illegal content,Number of notices received ,Number of specific items of information included in the total number of notices,Median time to take action,Number of actions taken on the basis of the law,Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of notices received ,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Median time to take action,Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the terms and conditions of the service
ChatGPT (Shared Links),Child Exploitation: Child sexual abuse material (CSAM) or other forms of child exploitation,154,154,,0,149,,,Median time to take action is not currently available. OpenAI plans to provide this information for future periods.,,
ChatGPT (Shared Links),"Deceptive Behavior and Scams: Impersonation, fraud or scam, misleading information",743,743,,0,706,,,Median time to take action is not currently available. OpenAI plans to provide this information for future periods.,,
ChatGPT (Shared Links),"Hate, Harassment and Spam: Hate speech or symbols, bullying and harassment, unwanted depiction of real person, privacy violating activities, spam",692,692,,0,634,,,Median time to take action is not currently available. OpenAI plans to provide this information for future periods.,,
ChatGPT (Shared Links),"Nudity and Sexual Content: Adult nudity and sexual content, sexual exploitaiton and abuse, non-consensual or deepfake intimate imagery",600,600,,0,569,,,Median time to take action is not currently available. OpenAI plans to provide this information for future periods.,,
ChatGPT (Shared Links),"Other Inappropriate or Illegal Content: Unsafe or prohibited products or activities, animal harm or welfare issues, risks to public health and safety, deceptive content of political candidate or election equipment, or other violations of terms","1,244","1,244",,0,"1,153",,,Median time to take action is not currently available. OpenAI plans to provide this information for future periods.,,
ChatGPT (Shared Links),"Violence and Self-Harm: Suicide and self-harm, eating disorders, terrorism, threats or incitement to violence, gender-based violence, weapons creation and procurement",471,471,,0,444,,,Median time to take action is not currently available. OpenAI plans to provide this information for future periods.,,
GPTs / GPT Store,Child Exploitation: Child sexual abuse material (CSAM) or other forms of child exploitation,4,4,,0,4,,,Median time to take action is not currently available. OpenAI plans to provide this information for future periods.,,
GPTs / GPT Store,"Deceptive Behavior and Scams: Impersonation, fraud or scam, misleading information",191,191,,0,64,,,Median time to take action is not currently available. OpenAI plans to provide this information for future periods.,,
GPTs / GPT Store,"Hate, Harassment and Spam: Hate speech or symbols, bullying and harassment, unwanted depiction of real person, privacy violating activities, spam",16,16,,0,16,,,Median time to take action is not currently available. OpenAI plans to provide this information for future periods.,,
GPTs / GPT Store,Intellectual Property: Copyright or trademark violations.,287,174,,67,0,,,Median time to take action is not currently available. OpenAI plans to provide this information for future periods.,,
GPTs / GPT Store,"Nudity and Sexual Content: Adult nudity and sexual content, sexual exploitaiton and abuse, non-consensual or deepfake intimate imagery",22,22,,0,24,,,Median time to take action is not currently available. OpenAI plans to provide this information for future periods.,,
GPTs / GPT Store,"Other Inappropriate or Illegal Content: Unsafe or prohibited products or activities, animal harm or welfare issues, risks to public health and safety, deceptive content of political candidate or election equipment, or other violations of terms","1,304","1,304",,0,197,,,Median time to take action is not currently available. OpenAI plans to provide this information for future periods.,,
GPTs / GPT Store,"Violence and Self-Harm: Suicide and self-harm, eating disorders, terrorism, threats or incitement to violence, gender-based violence, weapons creation and procurement",4,4,,0,2,,,Median time to take action is not currently available. OpenAI plans to provide this information for future periods.,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,˜,,,
